,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Unkn-01,74,,18.3416016310896,18.3197797269619,0.0308608327742112,0.291777757307841,-0.534947818154192,0.296129931633461,0.00615490395710326,60,
,A02,SYBR,,Unkn-01,74,,18.2979578228342,18.3197797269619,0.0308608327742112,0.30048210595908,-0.522181385606733,0.296129931633461,0.00615490395710326,60,
,A03,SYBR,,Unkn-08,81,,22.1402359295255,22.1491443315022,0.012598382894637,0.0225890416147203,-1.64610219450097,0.0224543138862015,0.000190533780898932,60,
,A04,SYBR,,Unkn-08,81,,22.158052733479,22.1491443315022,0.012598382894637,0.0223195861576828,-1.65131386220314,0.0224543138862015,0.000190533780898932,60,
,A05,SYBR,,Unkn-16,89,,19.468331711639,19.5423467886522,0.10467312573218,0.136605335533165,-0.864532337643077,0.130123770621558,0.00916631700339603,60,
,A06,SYBR,,Unkn-16,89,,19.6163618656654,19.5423467886522,0.10467312573218,0.123642205709951,-0.907833255961402,0.130123770621558,0.00916631700339603,60,
,A07,SYBR,,Unkn-24,97,,21.0898240809917,21.1568649502165,0.0948101064909796,0.0458308762135001,-1.33884183965571,0.0438520959487049,0.00279841788742959,60,
,A08,SYBR,,Unkn-24,97,,21.2239058194413,21.1568649502165,0.0948101064909796,0.0418733156839097,-1.37806264870484,0.0438520959487049,0.00279841788742959,60,
,A09,SYBR,,Unkn-32,8,,16.3233205199241,16.3400976482029,0.0237264423494772,1.13612996711467,0.0554280151533127,1.12343563256552,0.0179525000847043,60,
,A10,SYBR,,Unkn-32,8,,16.3568747764816,16.3400976482029,0.0237264423494772,1.11074129801638,0.0456129194926765,1.12343563256552,0.0179525000847043,60,
,A11,SYBR,,Std-01,,,14.0235554388869,14.0008123796564,0.0321635428136274,5,0.698970004336019,5,0,60,
,A12,SYBR,,Std-01,,,13.9780693204259,14.0008123796564,0.0321635428136274,5,0.698970004336019,5,0,60,
,B01,SYBR,,Unkn-02,75,,17.993722471802,17.8172091208982,0.249627574788013,0.36881771001149,-0.433188233020799,0.418317937592358,0.070003893185418,60,
,B02,SYBR,,Unkn-02,75,,17.6406957699944,17.8172091208982,0.249627574788013,0.467818165173225,-0.329922918736082,0.418317937592358,0.070003893185418,60,
,B03,SYBR,,Unkn-09,82,,18.3760433873413,18.3708376791242,0.00736198316238394,0.285087043365588,-0.545022520055307,0.286090141770487,0.00141859536860339,60,
,B04,SYBR,,Unkn-09,82,,18.3656319709071,18.3708376791242,0.00736198316238394,0.287093240175387,-0.541977033170823,0.286090141770487,0.00141859536860339,60,
,B05,SYBR,,Unkn-17,90,,18.3053705941132,18.322883876522,0.0247675215042849,0.298985601208298,-0.524349726278768,0.295500080901642,0.0049292700895997,60,
,B06,SYBR,,Unkn-17,90,,18.3403971589309,18.322883876522,0.0247675215042849,0.292014560594986,-0.534595492974877,0.295500080901642,0.0049292700895997,60,
,B07,SYBR,,Unkn-25,1,,16.4023220054794,16.4018387716539,0.000683395829830016,1.07725609712369,0.0323189608153415,1.07760683304906,0.000496015502469016,60,
,B08,SYBR,,Unkn-25,1,,16.4013555378284,16.4018387716539,0.000683395829830016,1.07795756897443,0.0326016663025385,1.07760683304906,0.000496015502469016,60,
,B09,SYBR,,Unkn-33,9,,18.2161857003134,18.198157834581,0.0254952522193027,0.317495898491607,-0.498261880683715,0.321398274536321,0.00551879312791405,60,
,B10,SYBR,,Unkn-33,9,,18.1801299688487,18.198157834581,0.0254952522193027,0.325300650581035,-0.487715068155371,0.321398274536321,0.00551879312791405,60,
,B11,SYBR,,Std-02,,,17.3917185111518,17.4485140876051,0.0803210745031508,0.5,-0.301029995663981,0.5,0,60,
,B12,SYBR,,Std-02,,,17.5053096640585,17.4485140876051,0.0803210745031508,0.5,-0.301029995663981,0.5,0,60,
,C01,SYBR,,Unkn-03,76,,18.6891538208874,18.6942204886589,0.0071653502785161,0.230881023996228,-0.636611760077136,0.2300958027479,0.00111047053884799,60,
,C02,SYBR,,Unkn-03,76,,18.6992871564304,18.6942204886589,0.0071653502785161,0.229310581499573,-0.639575904359271,0.2300958027479,0.00111047053884799,60,
,C03,SYBR,,Unkn-10,83,,20.3030723176484,20.0443994375772,0.365818695214839,0.0778563792913957,-1.10870579700021,0.0940844960261591,0.0229500227780761,60,
