Name	Kingdom	Phylum	Class	Order	Family	Genus	Species	MP_Frozen_DNA_D0_1	MP_Frozen_DNA_D0_2	MP_Frozen_DNA_D0_3	MP_Frozen_DNA_D14_1	MP_Frozen_DNA_D14_2	MP_Frozen_DNA_D14_3	MP_Frozen_DNA_D21_1	MP_Frozen_DNA_D21_2	MP_Frozen_DNA_D21_3	MP_Frozen_DNA_D03_1	MP_Frozen_DNA_D03_2	MP_Frozen_DNA_D03_3	MP_Frozen_DNA_D40_1	MP_Frozen_DNA_D40_2	MP_Frozen_DNA_D40_3	MP_Frozen_DNA_D07_1	MP_Frozen_DNA_D07_2	MP_Frozen_DNA_D07_3	MP_Frozen_RNA_D0_1	MP_Frozen_RNA_D0_2	MP_Frozen_RNA_D0_3	MP_Frozen_RNA_D14_1	MP_Frozen_RNA_D14_2	MP_Frozen_RNA_D14_3	MP_Frozen_RNA_D21_1	MP_Frozen_RNA_D21_2	MP_Frozen_RNA_D21_3	MP_Frozen_RNA_D03_1	MP_Frozen_RNA_D03_2	MP_Frozen_RNA_D03_3	MP_Frozen_RNA_D07_1	MP_Frozen_RNA_D07_2	MP_Frozen_RNA_D07_3	MP_Mawi_DNA_D0_1	MP_Mawi_DNA_D0_2	MP_Mawi_DNA_D0_3	MP_Mawi_DNA_D14_1	MP_Mawi_DNA_D14_2	MP_Mawi_DNA_D14_3	MP_Mawi_DNA_D21_1	MP_Mawi_DNA_D21_2	MP_Mawi_DNA_D21_3	MP_Mawi_DNA_D03_1	MP_Mawi_DNA_D03_2	MP_Mawi_DNA_D03_3	MP_Mawi_DNA_D40_1	MP_Mawi_DNA_D40_2	MP_Mawi_DNA_D40_3	MP_Mawi_DNA_D07_1	MP_Mawi_DNA_D07_2	MP_Mawi_DNA_D07_3	MP_Mawi_RNA_D0_1	MP_Mawi_RNA_D0_2	MP_Mawi_RNA_D0_3	MP_Mawi_RNA_D14_1	MP_Mawi_RNA_D14_2	MP_Mawi_RNA_D14_3	MP_Mawi_RNA_D21_1	MP_Mawi_RNA_D21_2	MP_Mawi_RNA_D21_3	MP_Mawi_RNA_D03_1	MP_Mawi_RNA_D03_2	MP_Mawi_RNA_D03_3	MP_Mawi_RNA_D07_1	MP_Mawi_RNA_D07_2	MP_Mawi_RNA_D07_3	Taxonomy Id	Taxonomy Lineage
Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Abiotrophia defectiva	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.31	7.1	6.81	0.0	0.0	8.28	8.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.79	0.0	0.0	0.0	46125	k__Bacteria(2);p__Firmicutes(1239);c__Bacilli(91061);o__Lactobacillales(186826);f__Aerococcaceae(186827);g__Abiotrophia(46123);s__Abiotrophia defectiva(46125);
Acetobacterium_u_s	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Acetobacterium	Acetobacterium_u_s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.0	0.0	1.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9	0.0	0.0	0.0	8.17	33951	k__Bacteria(2);p__Firmicutes(1239);c__Clostridia(186801);o__Clostridiales(186802);f__Eubacteriaceae(186806);g__Acetobacterium(33951);s__Acetobacterium_u_s(33951);
Acholeplasma_u_s	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma_u_s	0.0	0.0	0.0	0.0	0.0	0.0	1.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2147	k__Bacteria(2);p__Tenericutes(544448);c__Mollicutes(31969);o__Acholeplasmatales(186329);f__Acholeplasmataceae(2146);g__Acholeplasma(2147);s__Acholeplasma_u_s(2147);
Acidaminococcus_u_s	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus_u_s	0.0	0.0	56.65	43.04	82.26	0.0	48.17	45.53	0.0	126.69	0.0	0.0	0.0	37.76	45.31	0.0	70.52	80.39	130.55	198.5	241.33	752.48	849.05	450.62	737.37	932.94	1517.75	351.15	538.87	436.31	975.3	524.3	568.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129.36	92.4	0.0	50.16	0.0	0.0	51.34	31.02	0.0	0.0	0.0	405.73	270.76	302.43	167.18	58.83	154.72	208.25	28.17	97.59	253.73	164.94	273.13	82.92	376.63	253.15	904	k__Bacteria(2);p__Firmicutes(1239);c__Negativicutes(909932);o__Acidaminococcales(1843488);f__Acidaminococcaceae(909930);g__Acidaminococcus(904);s__Acidaminococcus_u_s(904);
Acidobacterium_u_s	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidobacterium	Acidobacterium_u_s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.43	0.0	0.0	0.0	0.0	33973	k__Bacteria(2);p__Acidobacteria(57723);c__Acidobacteriia(204432);o__Acidobacteriales(204433);f__Acidobacteriaceae(204434);g__Acidobacterium(33973);s__Acidobacterium_u_s(33973);
Acidovorax_u_s	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax_u_s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.73	3.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.15	0.0	1.54	10.77	32.9	9.91	31.41	72.88	39.11	14.61	18.16	14.47	19.03	24.53	18.18	12916	k__Bacteria(2);p__Proteobacteria(1224);c__Betaproteobacteria(28216);o__Burkholderiales(80840);f__Comamonadaceae(80864);g__Acidovorax(12916);s__Acidovorax_u_s(12916);
Acidovorax ebreus	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax ebreus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.37	0.0	0.0	721785	k__Bacteria(2);p__Proteobacteria(1224);c__Betaproteobacteria(28216);o__Burkholderiales(80840);f__Comamonadaceae(80864);g__Acidovorax(12916);s__Acidovorax ebreus(721785);
Acidovorax sp. JS42	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. JS42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.75	0.0	9.74	232721	k__Bacteria(2);p__Proteobacteria(1224);c__Betaproteobacteria(28216);o__Burkholderiales(80840);f__Comamonadaceae(80864);g__Acidovorax(12916);s__Acidovorax sp. JS42(232721);
Acidovorax sp. KKS102	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax sp. KKS102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.33	0.0	0.0	15.2	10.71	0.0	0.0	0.0	0.0	15.37	0.0	358220	k__Bacteria(2);p__Proteobacteria(1224);c__Betaproteobacteria(28216);o__Burkholderiales(80840);f__Comamonadaceae(80864);g__Acidovorax(12916);s__Acidovorax sp. KKS102(358220);
Acinetobacter_u_s	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter_u_s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.81	0.0	0.0	24.42	469	k__Bacteria(2);p__Proteobacteria(1224);c__Gammaproteobacteria(1236);o__Pseudomonadales(72274);f__Moraxellaceae(468);g__Acinetobacter(469);s__Acinetobacter_u_s(469);
