ID	Pool	Nucleic.Acid	Type	Day	Date	Day.Unique
Frozen_DNA_D0_1	Pool1	DNA	Frozen	0	2021-08-31	0A
Frozen_DNA_D0_2	Pool2	DNA	Frozen	0	2021-08-31	0A
Frozen_DNA_D0_3	Pool3	DNA	Frozen	0	2021-08-31	0A
Frozen_DNA_D14_1	Pool1	DNA	Frozen	14	2021-09-14	14A
Frozen_DNA_D14_2	Pool2	DNA	Frozen	14	2021-09-14	14A
Frozen_DNA_D14_3	Pool3	DNA	Frozen	14	2021-09-14	14A
Frozen_DNA_D21_1	Pool1	DNA	Frozen	21	2021-09-21	21A
Frozen_DNA_D21_2	Pool2	DNA	Frozen	21	2021-09-21	21A
Frozen_DNA_D21_3	Pool3	DNA	Frozen	21	2021-09-21	21A
Frozen_DNA_D03_1	Pool1	DNA	Frozen	3	2021-09-03	3A
Frozen_DNA_D03_2	Pool2	DNA	Frozen	3	2021-09-03	3A
Frozen_DNA_D03_3	Pool3	DNA	Frozen	3	2021-09-03	3A
Frozen_DNA_D40_1	Pool1	DNA	Frozen	40	2021-10-10	40A
Frozen_DNA_D40_2	Pool2	DNA	Frozen	40	2021-10-10	40A
Frozen_DNA_D40_3	Pool3	DNA	Frozen	40	2021-10-10	40A
Frozen_DNA_D07_1	Pool1	DNA	Frozen	7	2021-09-07	7A
Frozen_DNA_D07_2	Pool2	DNA	Frozen	7	2021-09-07	7A
Frozen_DNA_D07_3	Pool3	DNA	Frozen	7	2021-09-07	7A
Frozen_RNA_D0_1	Pool1	RNA	Frozen	0	2021-08-31	0A
Frozen_RNA_D0_2	Pool2	RNA	Frozen	0	2021-08-31	0A
Frozen_RNA_D0_3	Pool3	RNA	Frozen	0	2021-08-31	0A
Frozen_RNA_D14_1	Pool1	RNA	Frozen	14	2021-09-14	14A
Frozen_RNA_D14_2	Pool2	RNA	Frozen	14	2021-09-14	14A
Frozen_RNA_D14_3	Pool3	RNA	Frozen	14	2021-09-14	14A
Frozen_RNA_D21_1	Pool1	RNA	Frozen	21	2021-09-21	21A
Frozen_RNA_D21_2	Pool2	RNA	Frozen	21	2021-09-21	21A
Frozen_RNA_D21_3	Pool3	RNA	Frozen	21	2021-09-21	21A
Frozen_RNA_D03_1	Pool1	RNA	Frozen	3	2021-09-03	3A
Frozen_RNA_D03_2	Pool2	RNA	Frozen	3	2021-09-03	3A
Frozen_RNA_D03_3	Pool3	RNA	Frozen	3	2021-09-03	3A
Frozen_RNA_D07_1	Pool1	RNA	Frozen	7	2021-09-07	7A
Frozen_RNA_D07_2	Pool2	RNA	Frozen	7	2021-09-07	7A
Frozen_RNA_D07_3	Pool3	RNA	Frozen	7	2021-09-07	7A
Mawi_DNA_D0_1	Pool4	DNA	Mawi	0	2021-08-31	0B
Mawi_DNA_D0_2	Pool5	DNA	Mawi	0	2021-08-31	0B
Mawi_DNA_D0_3	Pool6	DNA	Mawi	0	2021-08-31	0B
Mawi_DNA_D14_1	Pool4	DNA	Mawi	14	2021-09-14	14B
Mawi_DNA_D14_2	Pool5	DNA	Mawi	14	2021-09-14	14B
Mawi_DNA_D14_3	Pool6	DNA	Mawi	14	2021-09-14	14B
Mawi_DNA_D21_1	Pool4	DNA	Mawi	21	2021-09-21	21B
Mawi_DNA_D21_2	Pool5	DNA	Mawi	21	2021-09-21	21B
Mawi_DNA_D21_3	Pool6	DNA	Mawi	21	2021-09-21	21B
Mawi_DNA_D03_1	Pool4	DNA	Mawi	3	2021-09-03	3B
Mawi_DNA_D03_2	Pool5	DNA	Mawi	3	2021-09-03	3B
Mawi_DNA_D03_3	Pool6	DNA	Mawi	3	2021-09-03	3B
Mawi_DNA_D40_1	Pool4	DNA	Mawi	40	2021-10-10	40B
Mawi_DNA_D40_2	Pool5	DNA	Mawi	40	2021-10-10	40B
Mawi_DNA_D40_3	Pool6	DNA	Mawi	40	2021-10-10	40B
Mawi_DNA_D07_1	Pool4	DNA	Mawi	7	2021-09-07	7B
Mawi_DNA_D07_2	Pool5	DNA	Mawi	7	2021-09-07	7B
Mawi_DNA_D07_3	Pool6	DNA	Mawi	7	2021-09-07	7B
Mawi_RNA_D0_1	Pool4	RNA	Mawi	0	2021-08-31	0B
Mawi_RNA_D0_2	Pool5	RNA	Mawi	0	2021-08-31	0B
Mawi_RNA_D0_3	Pool6	RNA	Mawi	0	2021-08-31	0B
Mawi_RNA_D14_1	Pool4	RNA	Mawi	14	2021-09-14	14B
Mawi_RNA_D14_2	Pool5	RNA	Mawi	14	2021-09-14	14B
Mawi_RNA_D14_3	Pool6	RNA	Mawi	14	2021-09-14	14B
Mawi_RNA_D21_1	Pool4	RNA	Mawi	21	2021-09-21	21B
Mawi_RNA_D21_2	Pool5	RNA	Mawi	21	2021-09-21	21B
Mawi_RNA_D21_3	Pool6	RNA	Mawi	21	2021-09-21	21B
Mawi_RNA_D03_1	Pool4	RNA	Mawi	3	2021-09-03	3B
Mawi_RNA_D03_2	Pool5	RNA	Mawi	3	2021-09-03	3B
Mawi_RNA_D03_3	Pool6	RNA	Mawi	3	2021-09-03	3B
Mawi_RNA_D07_1	Pool4	RNA	Mawi	7	2021-09-07	7B
Mawi_RNA_D07_2	Pool5	RNA	Mawi	7	2021-09-07	7B
Mawi_RNA_D07_3	Pool6	RNA	Mawi	7	2021-09-07	7B
